query_id,product_id,query,product_title,text_a,text_b,label
30149,B008ZBNI46,cristal del frigorifico,"orbegozo nve 4500 b - nevera eléctrica, refrigeración termoeléctrica, sistema ""no frost"", patas ajustables, luz led interna, 70 w, 38 l, negro",query: cristal del frigorifico,"passage: orbegozo nve 4500 b - nevera eléctrica, refrigeración termoeléctrica, sistema ""no frost"", patas ajustables, luz led interna, 70 w, 38 l, negro",0
69426,B076611KCY,mini hifu facial,"60ml bio sérum facial con vitamina c, e, ácido hialurónico puro 100% orgánico.suero vegano con ingredientes antiedad, antiarrugas y antimanchas para cara y contorno de ojos. tambien para dermaroller",query: mini hifu facial,"passage: 60ml bio sérum facial con vitamina c, e, ácido hialurónico puro 100% orgánico.suero vegano con ingredientes antiedad, antiarrugas y antimanchas para cara y contorno de ojos. tambien para dermaroller",0
28502,B07YZP594R,conga,"create netbot s15 - robot aspirador y fregasuelos 4 en 1, mapeo navegación inteligente y app, barre, aspira, friega y pasa la mopa, especial mascotas, suelos duros y alfombras (negro-turquesa)",query: conga,"passage: create netbot s15 - robot aspirador y fregasuelos 4 en 1, mapeo navegación inteligente y app, barre, aspira, friega y pasa la mopa, especial mascotas, suelos duros y alfombras (negro-turquesa)",0
21274,B07ZS664L1,cafetera breville barista,solis barista perfetta plus 1170 cafetera express automática - máquina de café espresso - 15 bar - 1.7l - acero inoxidable - gris,query: cafetera breville barista,passage: solis barista perfetta plus 1170 cafetera express automática - máquina de café espresso - 15 bar - 1.7l - acero inoxidable - gris,0
24746,B07RPFPMTT,champu loreal sin sulfatos,"l'oreal professionnel champú absolut repair, 500 mililitros",query: champu loreal sin sulfatos,"passage: l'oreal professionnel champú absolut repair, 500 mililitros",0
3201,B07RY73LBS,2g nano sin 8gb memory,"oneplus 7 pro mirror grey 6gb+128gb eu gm1913, otra versión europea",query: 2g nano sin 8gb memory,"passage: oneplus 7 pro mirror grey 6gb+128gb eu gm1913, otra versión europea",0
1572,B000BCC0LO,10gbe switch,"d-link dgs-108 - switch de red (8 puertos gigabit rj-45, 10/100/1000 mbps, chasis metálico, igmp snooping, autosensing, priorización de tráfico qos 802.1p) color negro",query: 10gbe switch,"passage: d-link dgs-108 - switch de red (8 puertos gigabit rj-45, 10/100/1000 mbps, chasis metálico, igmp snooping, autosensing, priorización de tráfico qos 802.1p) color negro",0
38333,B00FGX1BUY,estufas de pellets baratas,"orbegozo hbf 90 estufa de butano, triple sistema de seguridad, llama azul, 4200 w, metal, negro/gris",query: estufas de pellets baratas,"passage: orbegozo hbf 90 estufa de butano, triple sistema de seguridad, llama azul, 4200 w, metal, negro/gris",0
60544,B017IT8KZC,lbn parabolica,"tecatel illusion - lnb + 1 conector, gris",query: lbn parabolica,"passage: tecatel illusion - lnb + 1 conector, gris",0
102946,B01N1MNL1A,thule velocompact 925,"thule easyfold xt 2, portabicicletas para bola de remolque totalmente plegable, compacto, para todo tipo de bicicletas.",query: thule velocompact 925,"passage: thule easyfold xt 2, portabicicletas para bola de remolque totalmente plegable, compacto, para todo tipo de bicicletas.",0
