caso,consulta,producto,voto_Valeria_Hornung_1,voto_Alejandro,consenso,mayoria_humana,esci,juez
g06,perfumes hombre versace eros,versace eros eau de toilette vaporizador 100 ml,1,1,1.0,1.0,1,1
g05,calcetines sin goma hombre,"puma sport cush crew 6p, calcetines unisex, paquete de 6, negro (black), eu 39-42",0,1,,,0,0
g04,pasteles sin azucar,productos san diego rosquillas al jerez - 2000 gr,0,0,0.0,0.0,0,0
g03,ordenador sobremesa i5 16gb ram ssd,lenovo thinkcentre m93p sff intel core i5-4570 win10 pro - ordenador de sobremesa lenovo thincentre m93 sff i5 prozessor dvd laufwerk desktop pc 16gb ram - 240 gb ssd (reacondicionado),1,1,1.0,1.0,1,0
g01,móvil xiaomi redmi note 7 negro,"xiaomi redmi note 7 smartphones de 6.3'' pantalla completa, 4gb ram + 128gb rom, snapdragon 660 procesador octa-core, 13mp delantero y 48mp + 5mp doble cámara trasera teléfonos móviles (azul)",0,1,,,0,0
g10,matrix triologia,matrix - ultimate collection (limited) (4 blu-ray+3 dvd) [italia] [blu-ray],1,1,1.0,1.0,1,0
g06,perfumes hombre versace eros,eros eau de toilette vapo 100 ml-hombre,1,1,1.0,1.0,1,1
g02,funda xiaomi mi 9 con esquinas reforzadas,"lk compatible con xiaomi mi 9t / mi 9t pro protector de pantalla,3 pack,9h dureza cristal templado, equipado con marco de posicionamiento,vidrio templado screen protector",0,0,0.0,0.0,0,0
g06,perfumes hombre versace eros,"dreamer by gianni versace, 100ml",0,0,0.0,0.0,0,0
g04,pasteles sin azucar,pasteles sin azúcar: hornear pasteles increíbles utilizando stevia y xilitol (backen - die besten rezepte),0,1,,,1,1
g07,libro lengua 3 primaria santillana,lengua+ serie practica tareas y destrezas comunicativas 3 primaria,1,1,1.0,1.0,1,0
g05,calcetines sin goma hombre,"puma invisible sneaker - calcetines tobilleros unisex, pack de 6, color blanco (white), talla 43/46",0,0,0.0,0.0,1,0
g03,ordenador sobremesa i5 16gb ram ssd,"hp elitedesk 800 g1 - ordenador de sobremesa (intel core i5-4570, 16gb de ram, disco ssd de 480gb, sin lector, windows 10 pro es 64) - negro (reacondicionado)",1,1,1.0,1.0,1,1
g01,móvil xiaomi redmi note 7 negro,"xiaomi redmi note 7 16 cm (6.3"") 4 gb 64 gb ranura híbrida dual sim 4g azul 4000 mah - smartphone (16 cm (6.3""), 4 gb, 64 gb, 48 mp, android 9.0, azul)",0,0,0.0,0.0,0,0
