id,consulta,posicion,producto,criterio_equipo
g02,funda xiaomi mi 9 con esquinas reforzadas,3,"deconext funda xiaomi 9,mi 9 carcasa ultra slim anti-rasguño y resistente huellas dactilares protectora caso de duro cover case para xiaomi mi 9 6,39"" rosa suave","fundas del modelo exacto y con refuerzo de esquinas; fundas del mismo modelo sin el atributo, o de otro modelo Xiaomi, no cuentan"
g03,ordenador sobremesa i5 16gb ram ssd,1,lumar ordenador gaming sobremesa/intel core i5 quad core 3.6ghz / 16gb ram / 960gb ssd + 2tb hdd/gráfica dedicada nvidia geforce gtx 750 ti 4gb / hdmi/usb 3.0 / wifi/windows 10 pro trial,"equipos de sobremesa que cumplan las tres especificaciones; portátiles, equipos con menos RAM o sin SSD no cuentan aunque coincidan en el resto de palabras"
g03,ordenador sobremesa i5 16gb ram ssd,2,lenovo thinkcentre m93p sff intel core i5-4570 win10 pro - ordenador de sobremesa lenovo thincentre m93 sff i5 prozessor dvd laufwerk desktop pc 16gb ram - 240 gb ssd (reacondicionado),"equipos de sobremesa que cumplan las tres especificaciones; portátiles, equipos con menos RAM o sin SSD no cuentan aunque coincidan en el resto de palabras"
g04,pasteles sin azucar,1,"pasteles sin horno: 30 propuestas veganas, sin azúcar y sin gluten",el producto debe ser efectivamente sin azúcar; un pastel normal comparte todas las palabras de la consulta y es exactamente lo que no se pidió
g04,pasteles sin azucar,3,magdalenas sin azúcar y sin lactosa,el producto debe ser efectivamente sin azúcar; un pastel normal comparte todas las palabras de la consulta y es exactamente lo que no se pidió
g05,calcetines sin goma hombre,1,"puma quarter 3p - calcetines de deporte para hombre, color negro, talla 43-46 (3 pares)","calcetines de hombre sin goma; calcetines de hombre normales no cuentan, y los sin goma de mujer o infantiles tampoco"
g05,calcetines sin goma hombre,2,"puma invisible sneaker - calcetines tobilleros unisex, pack de 6, color blanco (white), talla 43/46","calcetines de hombre sin goma; calcetines de hombre normales no cuentan, y los sin goma de mujer o infantiles tampoco"
g05,calcetines sin goma hombre,3,"vca pack de 6 calcetines lisos sin goma para hombre, calcetines diabéticos","calcetines de hombre sin goma; calcetines de hombre normales no cuentan, y los sin goma de mujer o infantiles tampoco"
g06,perfumes hombre versace eros,3,eros para disco duro de los hombres de por el gigante - 100 ml eau de toilette de aerosol de la,fragancias de la línea pedida de esa marca; otras fragancias de la misma marca son sustitutos y no deben ocupar la primera pantalla
g07,libro lengua 3 primaria santillana,1,cuaderno lengua 3 primaria 2 trim saber hacer contigo,"el libro del curso, la materia y la editorial pedidos; otros cursos de la misma colección, u otras editoriales del mismo curso, no cuentan"
g07,libro lengua 3 primaria santillana,2,lengua+ serie practica tareas y destrezas comunicativas 3 primaria,"el libro del curso, la materia y la editorial pedidos; otros cursos de la misma colección, u otras editoriales del mismo curso, no cuentan"
g07,libro lengua 3 primaria santillana,3,cuaderno lengua 3 primaria 3 trim saber hacer contigo,"el libro del curso, la materia y la editorial pedidos; otros cursos de la misma colección, u otras editoriales del mismo curso, no cuentan"
g08,filtro de gasoil renault trafic,1,mann filter p 716/1 x filtro de combustible,"filtro de gasoil compatible con ese vehículo; filtros de aire, de aceite o para otros modelos no cuentan aunque sean de la misma marca de repuesto"
g08,filtro de gasoil renault trafic,2,original mann-filter filtro de aire c 3251/1- para automóviles,"filtro de gasoil compatible con ese vehículo; filtros de aire, de aceite o para otros modelos no cuentan aunque sean de la misma marca de repuesto"
g08,filtro de gasoil renault trafic,3,"mann-filterp 726 x original set de filtro de combustible con junta / juego de juntas, para automóviles y camiones","filtro de gasoil compatible con ese vehículo; filtros de aire, de aceite o para otros modelos no cuentan aunque sean de la misma marca de repuesto"
g09,apple accesorios,2,"frtma magnetic sleeve for apple pencil, soft silicone holder grip for apple ipad pro pencil, ivory white (apple pencil not included)","accesorios legítimos de la marca en la primera pantalla; productos de otras marcas compatibles son sustitutos, y un dispositivo completo no es un accesorio"
g10,matrix triologia,1,matrix - ultimate collection (limited) (4 blu-ray+3 dvd) [italia] [blu-ray],el pack de la trilogía; las películas sueltas de la saga son sustitutos y el sistema no debería resolver la consulta con una sola de ellas
g10,matrix triologia,3,matrix - la trilogia vinyl edition (3 blu-ray) [italia] [blu-ray],el pack de la trilogía; las películas sueltas de la saga son sustitutos y el sistema no debería resolver la consulta con una sola de ellas
